ISO3,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
AFG,43.028,43.456,2200.764,2202.278,0.502,0.511,27.445,27.244
AGO,71.983,72.157,7568.997,6653.908,0.578,0.581,36.818,30.0
ALB,47.055,48.86,12547.928,13961.797,0.788,0.795,22.857,29.508
AND,,,,,0.866,0.868,32.143,46.429
ARE,81.162,80.166,66510.867,67119.133,0.864,0.89,22.5,50.0
ARG,55.5,55.301,23189.731,22033.945,0.839,0.845,37.082,39.877
ARM,46.097,46.173,11303.072,13653.75,0.766,0.776,10.687,23.485
ATG,,,19417.965,21908.459,0.765,0.778,25.714,31.429
AUS,61.28,62.067,48585.89,49756.307,0.939,0.944,31.416,36.564
AUT,56.866,57.848,53688.282,56352.445,0.917,0.922,30.328,38.525
AZE,62.949,62.838,14238.784,14403.85,0.751,0.756,16.8,16.807
BDI,77.666,78.024,794.605,751.664,0.438,0.433,37.805,38.75
BEL,49.064,50.569,49969.618,51707.792,0.924,0.931,42.381,43.333
BEN,69.006,69.285,2961.442,3287.31,0.533,0.545,7.229,7.229
BFA,62.425,62.268,1991.138,2189.631,0.428,0.452,9.449,13.386
BGD,54.134,56.521,3920.301,4753.726,0.606,0.632,20.0,20.63
BGR,49.402,52.964,20489.082,23091.342,0.811,0.816,20.417,25.833
BHR,71.389,72.838,48091.019,45025.772,0.853,0.852,15.0,18.75
BHS,65.207,66.835,35642.472,35782.798,0.81,0.814,16.667,21.818
BIH,34.882,37.847,13363.915,14894.787,0.772,0.78,19.298,21.053
BLR,60.617,61.184,17822.607,19149.638,0.815,0.823,33.929,34.94
BLZ,60.476,60.884,7118.202,7004.912,0.717,0.716,13.333,11.111
BOL,65.323,69.301,8202.551,8724.476,0.702,0.718,51.807,51.807
BRA,56.388,56.165,14446.413,14651.616,0.758,0.765,10.774,14.983
BRB,59.626,58.488,15738.189,15638.83,0.811,0.814,19.608,29.412
BRN,59.953,58.781,60865.987,62099.588,0.839,0.838,6.452,9.091
BTN,64.502,65.152,10775.146,11345.445,0.637,0.654,8.333,15.278
BWA,58.336,57.935,17117.072,17766.488,0.72,0.735,9.524,10.769
CAF,69.771,69.307,884.494,944.868,0.382,0.397,7.194,8.571
CAN,60.905,61.451,47705.523,49031.38,0.923,0.929,29.773,33.183
CHE,65.196,65.126,66570.617,68627.829,0.947,0.955,28.862,38.618
CHL,57.844,58.202,23721.606,24226.151,0.845,0.851,15.823,22.727
CHN,66.281,65.05,13487.948,16116.704,0.746,0.761,23.623,24.941
CIV,55.703,55.064,4615.712,5238.261,0.513,0.538,9.163,13.277
CMR,73.636,73.501,3524.445,3652.687,0.553,0.563,27.143,29.286
COD,61.076,60.774,1055.573,1097.949,0.471,0.48,8.167,11.987
COG,62.895,62.87,3603.23,3298.068,0.578,0.574,11.538,13.636
COL,63.46,62.095,14338.433,14730.885,0.76,0.767,20.896,19.565
COM,41.015,41.405,2987.989,3081.384,0.547,0.554,3.03,6.061
CPV,52.79,53.049,6482.648,7171.839,0.657,0.665,23.611,23.611
CRI,54.261,54.737,18592.142,19642.418,0.801,0.81,33.333,45.614
CUB,52.92,52.703,,,0.773,0.783,48.856,53.223
CYP,53.969,58.472,36526.819,39544.682,0.873,0.887,17.857,17.857
CZE,57.766,59.388,36982.189,40314.229,0.893,0.9,19.643,20.641
DEU,57.829,58.961,51930.163,53815.365,0.941,0.947,36.857,31.62
DJI,54.061,54.041,4709.549,5519.333,0.505,0.524,12.727,26.154
DMA,,,12154.751,12155.559,0.74,0.742,21.875,25.0
DNK,59.4,59.162,54314.381,57184.193,0.935,0.94,37.43,39.106
DOM,59.437,60.562,16166.604,18419.034,0.743,0.756,24.324,24.324
DZA,37.2,36.333,11637.898,11349.701,0.743,0.748,25.785,21.549
ECU,65.264,65.338,11551.617,11375.331,0.758,0.759,41.606,37.956
EGY,41.779,41.419,10795.809,11763.254,0.696,0.707,14.933,14.933
ERI,74.547,74.355,,,0.456,0.459,22.0,22.0
ESP,46.863,49.467,38553.603,40883.325,0.899,0.904,38.636,41.857
EST,58.743,60.308,32021.063,36710.411,0.881,0.892,23.762,29.703
ETH,78.164,77.895,1894.897,2219.709,0.467,0.485,37.286,37.286
FIN,53.32,55.185,46161.583,48621.089,0.932,0.938,41.5,47.0
FJI,55.636,55.279,12812.058,13853.429,0.738,0.743,16.0,19.608
FRA,49.79,50.48,43914.482,46183.522,0.894,0.901,25.73,36.865
FSM,,,3444.997,3468.568,0.614,0.62,0.1,0.1
GAB,41.369,42.314,15358.721,14869.791,0.69,0.703,15.982,17.949
GBR,59.504,60.357,45428.723,46699.302,0.924,0.932,27.348,28.909
GEO,57.074,58.492,12963.744,15014.288,0.792,0.812,16.0,14.765
GHA,64.312,64.862,4724.125,5412.628,0.598,0.611,10.909,13.091
GIN,59.296,58.89,2255.308,2564.042,0.465,0.477,21.93,22.807
GMB,53.679,54.021,2036.872,2206.913,0.475,0.496,9.434,10.345
GNB,70.059,70.19,1864.26,1989.367,0.468,0.48,13.725,13.725
GNQ,57.953,57.981,24827.073,18558.004,0.588,0.592,19.653,19.186
GRC,39.949,42.844,28601.063,30314.566,0.874,0.888,19.667,20.667
GRD,,,15613.973,17241.532,0.771,0.779,25.0,39.286
GTM,60.341,60.817,8205.754,8637.555,0.653,0.663,13.924,19.375
GUY,49.419,49.524,8848.151,9702.579,0.676,0.682,30.435,31.884
HKG,58.591,57.893,58096.3,59892.866,0.936,0.949,,
HND,61.708,65.067,5395.614,5727.974,0.626,0.634,25.781,21.094
HRV,44.481,47.632,25478.531,28508.517,0.841,0.851,12.583,20.53
HTI,57.396,57.926,1766.11,1728.91,0.5,0.51,0.1,2.74
HUN,52.907,54.548,28230.554,32622.851,0.844,0.854,10.101,12.563
IDN,63.334,64.333,10531.198,11812.198,0.703,0.718,17.117,17.391
IND,47.566,46.653,5840.67,6754.287,0.63,0.645,11.69,13.486
IRL,57.17,59.008,73034.513,86781.39,0.943,0.955,24.312,24.312
IRN,38.48,39.581,14205.209,14535.863,0.784,0.783,5.882,5.882
IRQ,39.255,37.484,11542.264,10881.172,0.656,0.674,26.524,25.228
ISL,75.432,72.9,54407.728,55873.951,0.941,0.949,47.619,38.095
ISR,61.145,61.569,38372.373,40161.919,0.913,0.919,26.667,23.333
ITA,43.52,44.655,41037.603,42412.665,0.884,0.892,30.074,35.263
JAM,57.029,60.746,9550.81,9761.499,0.731,0.734,19.048,19.048
JOR,33.312,33.521,9867.022,9906.054,0.729,0.729,15.385,15.385
JPN,58.573,60.312,39926.021,41429.288,0.912,0.919,13.25,14.507
KAZ,66.647,65.601,24210.863,26351.439,0.808,0.825,20.779,22.078
KEN,72.963,72.722,3952.746,4329.871,0.591,0.601,20.813,23.261
KGZ,57.131,56.044,4912.382,5253.097,0.691,0.697,19.167,19.167
KHM,81.769,81.756,3733.955,4388.801,0.576,0.594,19.022,19.251
KIR,,,2252.995,2275.171,0.622,0.63,6.522,6.522
KNA,,,26077.564,26356.551,0.771,0.779,13.333,13.333
KOR,60.453,60.358,39857.09,42661.172,0.91,0.916,17.0,16.667
KWT,71.192,71.889,54708.703,49846.144,0.804,0.806,2.0,4.615
LAO,77.932,77.982,6896.129,7826.389,0.605,0.613,27.517,27.517
LBN,43.965,44.085,16108.504,14717.35,0.741,0.744,3.125,4.688
LBR,74.393,74.167,1516.356,1427.819,0.478,0.48,10.68,11.65
LBY,40.306,40.463,10592.424,15174.165,0.687,0.724,15.957,15.957
LCA,52.625,53.209,14516.59,15448.794,0.752,0.759,20.69,20.69
LIE,,,,,0.915,0.919,20.0,12.0
LKA,52.671,51.652,12287.473,13078.098,0.773,0.782,5.778,5.333
LSO,51.282,51.996,2842.699,2767.714,0.512,0.527,24.837,23.026
LTU,55.79,57.704,31992.645,36974.946,0.867,0.882,21.277,21.277
LUX,54.514,56.146,113553.599,114481.534,0.91,0.916,28.333,25.0
LVA,54.773,57.408,27207.146,30830.091,0.854,0.866,18.0,30.0
MAR,42.041,41.22,7109.243,7514.721,0.667,0.686,18.447,18.447
MCO,,,,,,,20.833,33.333
MDA,41.0,40.728,10942.551,13033.864,0.738,0.75,21.782,25.743
MDG,84.832,84.613,1565.867,1646.22,0.523,0.528,20.093,16.901
MDV,63.486,65.507,17582.657,18914.333,0.728,0.74,5.882,4.598
MEX,58.33,58.602,19612.229,19746.436,0.768,0.779,40.605,48.408
MHL,,,3653.867,3894.177,,0.704,9.091,6.061
MKD,41.935,45.309,15371.957,16506.085,0.765,0.774,33.333,39.167
MLI,65.636,65.697,2197.631,2327.371,0.422,0.434,8.844,9.524
MLT,52.581,54.564,40112.929,43340.2,0.885,0.895,12.857,14.925
MMR,63.117,60.693,4482.925,5142.154,0.563,0.583,10.046,11.568
MNE,43.874,46.341,18745.18,21378.575,0.818,0.829,23.457,28.395
MNG,54.999,56.089,10940.415,12309.771,0.729,0.737,17.105,17.333
MOZ,75.978,75.566,1273.783,1280.45,0.441,0.456,39.6,41.2
MRT,41.321,41.503,5045.894,5197.029,0.542,0.546,22.167,20.261
MUS,54.655,54.421,20646.933,22989.342,0.794,0.804,11.594,20.0
MWI,72.596,72.381,1024.601,1059.723,0.472,0.483,16.667,22.917
MYS,62.079,62.152,25546.442,28350.59,0.8,0.81,12.937,15.517
NAM,46.188,47.464,10266.746,9637.181,0.639,0.646,36.301,36.957
NER,72.054,71.7,1149.663,1219.077,0.378,0.394,14.62,16.959
NGA,49.436,48.623,5284.892,5135.5,0.526,0.539,5.769,4.113
NIC,63.775,61.864,5811.893,5407.105,0.657,0.66,45.652,44.565
NLD,59.887,61.587,54101.265,57141.37,0.936,0.944,36.444,33.778
NOR,61.362,61.669,62010.34,63633.102,0.95,0.957,39.645,40.828
NPL,82.18,82.626,2902.249,3416.791,0.586,0.602,29.58,33.533
NRU,,,11183.333,11599.341,,,5.263,10.526
NZL,65.774,67.063,41083.812,42887.518,0.924,0.931,31.405,40.833
OMN,68.648,70.436,30190.994,27896.337,0.815,0.813,8.824,9.884
PAK,50.826,50.232,4421.67,4690.485,0.542,0.557,20.045,20.0
PAN,63.212,63.991,29337.881,31458.693,0.805,0.815,18.31,21.127
PER,72.592,75.063,12403.689,12847.885,0.765,0.777,27.692,30.0
PHL,60.47,58.339,7705.045,8908.176,0.704,0.718,29.43,28.049
PLW,,,18603.922,18070.038,0.822,0.826,13.793,13.793
PNG,46.102,46.032,4289.048,4387.602,0.549,0.555,2.703,0.1
POL,53.297,54.731,28737.542,33086.39,0.869,0.88,24.821,27.857
PRK,78.143,78.167,,,,,16.303,17.613
PRT,52.043,55.086,31887.419,34797.994,0.855,0.864,34.783,38.696
PRY,66.684,68.627,12157.305,12684.596,0.722,0.728,16.8,16.8
PSE,33.167,32.366,5691.638,5661.634,0.704,0.708,,
QAT,87.169,86.741,96060.235,92651.07,0.845,0.848,0.1,9.756
ROU,50.554,52.489,25238.187,29908.979,0.82,0.828,11.951,19.57
RUS,59.283,58.968,25568.908,27043.935,0.815,0.824,13.871,16.452
RWA,82.891,82.793,1950.331,2226.221,0.527,0.543,57.547,55.66
SAU,53.138,52.568,48627.141,46962.141,0.859,0.854,19.868,19.868
SDN,40.191,40.43,4284.811,3958.468,0.507,0.51,31.042,27.536
SEN,42.615,42.667,3067.663,3394.869,0.509,0.512,42.667,41.818
SGP,68.189,67.64,91075.535,97341.469,0.935,0.938,23.762,23.0
SLB,83.35,83.353,2314.792,2367.404,0.561,0.567,2.0,4.082
SLE,55.43,55.333,1610.553,1718.371,0.431,0.452,12.397,12.329
SLV,56.892,56.668,8309.63,8775.987,0.671,0.673,32.143,30.952
SMR,,,58807.343,59349.971,,,23.333,25.0
SOM,41.72,42.018,,,,,,24.316
SRB,45.605,47.915,16116.306,18179.775,0.795,0.806,34.0,37.652
SSD,63.476,63.523,,,0.421,0.433,26.559,26.559
STP,50.742,50.064,3841.435,3963.784,0.608,0.625,18.182,14.545
SUR,47.69,47.385,16217.873,16328.686,0.735,0.738,25.49,31.373
SVK,54.251,56.23,30040.294,32792.555,0.853,0.86,20.0,20.0
SVN,52.191,55.913,34983.791,38688.783,0.9,0.917,27.692,22.308
SWE,59.574,60.381,52116.147,53205.056,0.94,0.945,43.553,47.278
SWZ,39.917,40.91,8405.799,8688.101,0.588,0.611,14.737,12.121
SYC,,,26421.941,29055.749,0.787,0.796,21.212,21.212
SYR,40.216,40.422,,,0.528,0.567,13.2,13.2
TCD,69.612,69.362,1687.053,1579.627,0.393,0.398,14.894,14.881
TGO,76.4,76.011,1489.684,1595.929,0.502,0.515,17.582,16.484
THA,67.598,66.818,16797.772,18463.094,0.756,0.777,6.091,14.133
TJK,37.107,37.391,2942.648,3379.749,0.653,0.668,20.0,20.0
TKM,62.122,61.959,13562.526,14845.329,0.699,0.715,25.806,25.0
TLS,63.585,64.275,3355.508,3123.109,0.598,0.606,38.462,38.462
TON,59.164,59.083,6208.059,6266.903,0.722,0.725,0.1,7.407
TTO,59.312,58.347,27201.469,26175.952,0.792,0.796,31.507,32.877
TUN,39.46,38.734,10524.994,10755.58,0.731,0.74,31.336,22.581
TUR,46.118,45.702,26409.177,28167.397,0.808,0.82,14.909,17.45
TUV,,,3798.567,4287.535,,,6.667,6.25
TZA,82.023,81.761,2441.565,2660.42,0.52,0.529,36.559,36.896
UGA,69.36,69.04,2073.329,2181.248,0.529,0.544,33.489,34.858
UKR,49.436,49.341,11534.638,12810.289,0.768,0.779,12.019,20.519
URY,59.607,58.431,20862.171,21561.062,0.81,0.817,19.231,20.93
USA,59.131,59.765,59028.59,62682.8,0.922,0.926,19.549,23.729
UZB,61.49,61.21,6346.335,6998.705,0.705,0.72,16.4,16.4
VCT,53.128,53.432,12164.494,12466.235,0.734,0.738,13.043,13.043
VEN,57.369,54.473,,,0.759,0.711,14.371,22.156
VNM,76.074,75.888,6767.902,8041.179,0.693,0.704,26.721,26.721
VUT,66.791,66.811,3066.322,3143.628,0.598,0.609,0.1,0.1
WSM,40.339,40.033,6457.091,6517.034,0.71,0.715,10.0,10.0
YEM,32.534,33.094,,,0.474,0.47,0.518,0.971
ZAF,40.787,40.231,12703.82,12481.813,0.703,0.709,41.189,45.333
ZMB,66.873,66.091,3467.872,3479.492,0.571,0.584,17.964,17.964
ZWE,78.749,78.982,2934.734,2835.949,0.558,0.571,35.143,34.571
